source,target,length,time,costing
891e036349bffff,891e03632d3ffff,5.6,4283.519,pedestrian
891e036029bffff,891e0378c17ffff,13.085,9943.801,pedestrian
891e037a92fffff,891e036368bffff,1.231,966.692,pedestrian
891e0363687ffff,891e037aa37ffff,4.622,3661.774,pedestrian
891e037a143ffff,891e037a37bffff,4.175,3589.583,pedestrian
891e0362293ffff,891e03632d3ffff,9.591,7349.3,pedestrian
891e0378b0bffff,891e037ac6fffff,11.977,9149.6,pedestrian
891e036300bffff,891e0363013ffff,1.034,798.793,pedestrian
891e03630d3ffff,891e037ac2bffff,7.364,5539.73,pedestrian
891e037aecbffff,891e0345b2fffff,7.916,7404.862,pedestrian
891e037a933ffff,891e037a837ffff,2.767,2092.774,pedestrian
891e036a50fffff,891e036a063ffff,3.884,2876.554,pedestrian
891e0361497ffff,891e0378337ffff,11.829,9004.856,pedestrian
891e0379967ffff,891e037a36fffff,13.211,10497.108,pedestrian
891e0371c43ffff,891e037a823ffff,7.588,5693.319,pedestrian
891e0371babffff,891e036306fffff,7.645,5735.334,pedestrian
891e0360407ffff,891e0363643ffff,10.697,8058.67,pedestrian
891e0361487ffff,891e037aa13ffff,9.59,7435.138,pedestrian
891e037a953ffff,891e037ae4bffff,6.744,5367.938,pedestrian
891e036a69bffff,891e037abcfffff,11.32,8740.36,pedestrian
891e03780a7ffff,891e03785b3ffff,3.692,3005.559,pedestrian
891e036068bffff,891e0361e53ffff,9.279,6932.182,pedestrian
891e037ad97ffff,891e0378923ffff,12.255,9296.008,pedestrian
891e0363477ffff,891e0378c4fffff,9.262,7133.516,pedestrian
891e03780d3ffff,891e037800bffff,1.775,1530.482,pedestrian
891e0378c13ffff,891e037a133ffff,7.637,6098.409,pedestrian
891e03613b3ffff,891e03613d3ffff,1.881,1495.576,pedestrian
891e03616a7ffff,891e037aaa7ffff,9.752,7524.76,pedestrian
891e0363403ffff,891e0378c17ffff,7.762,5968.18,pedestrian
