source,target,length,time,costing
891e037a143ffff,891e037aa53ffff,7.149,630.026,auto
891e0371abbffff,891e03783a7ffff,16.374,1043.427,auto
891e0378bcfffff,891e0361033ffff,10.392,743.829,auto
891e0363667ffff,891e037a84bffff,7.151,595.722,auto
891e0378313ffff,891e03783abffff,1.608,159.996,auto
891e0379927ffff,891e036343bffff,14.852,1016.211,auto
891e036ac77ffff,891e037aaabffff,15.609,1110.858,auto
891e0378ed3ffff,891e0378c0fffff,4.777,346.937,auto
891e037ab2bffff,891e0378ec3ffff,8.215,567.178,auto
891e0345d33ffff,891e0344ad3ffff,4.25,1184.197,auto
891e0371343ffff,891e037aa37ffff,9.598,640.912,auto
891e0379847ffff,891e0378313ffff,8.451,600.68,auto
891e0371a83ffff,891e037185bffff,0.896,112.386,auto
891e0379d83ffff,891e03781cbffff,8.507,647.942,auto
891e037a3a7ffff,891e0378d5bffff,13.331,885.287,auto
891e0378c1bffff,891e0378ccfffff,1.158,125.595,auto
891e036349bffff,891e03632d3ffff,6.421,537.863,auto
891e036029bffff,891e0378c17ffff,13.366,932.739,auto
891e037a92fffff,891e036368bffff,1.948,186.336,auto
891e0363687ffff,891e037aa37ffff,4.889,410.447,auto
891e037a143ffff,891e037a37bffff,4.554,398.94,auto
891e0362293ffff,891e03632d3ffff,10.736,875.65,auto
891e0378b0bffff,891e037ac6fffff,15.483,1014.734,auto
891e036300bffff,891e0363013ffff,1.356,105.219,auto
891e03630d3ffff,891e037ac2bffff,7.448,448.695,auto
891e037aecbffff,891e0345b2fffff,7.847,795.651,auto
891e037a933ffff,891e037a837ffff,3.337,255.696,auto
891e036a50fffff,891e036a063ffff,5.213,405.76,auto
891e0361497ffff,891e0378337ffff,13.458,956.033,auto
891e0379967ffff,891e037a36fffff,16.845,1279.433,auto
891e0371c43ffff,891e037a823ffff,8.034,524.023,auto
891e0371babffff,891e036306fffff,14.565,1374.614,auto
891e0360407ffff,891e0363643ffff,11.645,876.221,auto
891e0361487ffff,891e037aa13ffff,12.332,949.193,auto
891e037a953ffff,891e037ae4bffff,9.333,703.183,auto
891e036a69bffff,891e037abcfffff,13.603,965.826,auto
891e03780a7ffff,891e03785b3ffff,5.364,463.832,auto
891e036068bffff,891e0361e53ffff,13.654,975.64,auto
891e037ad97ffff,891e0378923ffff,13.347,898.987,auto
891e0363477ffff,891e0378c4fffff,9.634,679.269,auto
891e03780d3ffff,891e037800bffff,1.954,199.008,auto
891e0378c13ffff,891e037a133ffff,8.8,692.433,auto
891e03613b3ffff,891e03613d3ffff,2.178,211.67,auto
891e03616a7ffff,891e037aaa7ffff,10.76,833.092,auto
891e0363403ffff,891e0378c17ffff,7.996,600.997,auto
891e037819bffff,891e037a877ffff,6.394,584.521,auto
891e037ac73ffff,891e037aca7ffff,2.09,188.627,auto
891e0363507ffff,891e0360033ffff,8.816,700.878,auto
891e03788cfffff,891e0378c17ffff,4.611,346.003,auto
891e036a297ffff,891e036a087ffff,5.362,719.409,auto
891e0378b7bffff,891e037a12bffff,14.499,1009.556,auto
891e03799a7ffff,891e0378b53ffff,2.967,310.336,auto
891e0379cb3ffff,891e03780b7ffff,5.676,394.489,auto
891e037988bffff,891e0379967ffff,13.892,1015.797,auto
891e037abd7ffff,891e03781a3ffff,5.328,469.371,auto
891e037ab8bffff,891e037aa23ffff,3.397,347.007,auto
891e0371193ffff,891e037ac23ffff,6.8,464.589,auto
891e0373347ffff,891e037aa53ffff,14.321,1004.048,auto
891e037aabbffff,891e037a28bffff,8.334,679.539,auto
891e037a937ffff,891e037ab97ffff,3.251,265.028,auto
891e0362603ffff,891e036042bffff,8.007,653.189,auto
891e0361463ffff,891e036112bffff,6.383,518.759,auto
891e03783b3ffff,891e0379d03ffff,4.236,327.932,auto
891e037a337ffff,891e037a8d3ffff,4.44,387.739,auto
891e037a9cfffff,891e037aab7ffff,4.521,396.88,auto
891e03634a7ffff,891e037a337ffff,12.353,1011.619,auto
891e0360043ffff,891e0363647ffff,10.832,885.815,auto
891e037ae67ffff,891e037aa8bffff,1.415,133.839,auto
891e03785d7ffff,891e037ae4bffff,2.078,174.051,auto
891e037a10bffff,891e0378a63ffff,15.494,1152.43,auto
891e037aab7ffff,891e037aac3ffff,4.34,374.978,auto
891e037a3d3ffff,891e037a3cfffff,1.767,247.898,auto
891e0378ca3ffff,891e03636dbffff,4.588,328.454,auto
891e037136bffff,891e0362053ffff,23.325,1496.472,auto
891e0360e17ffff,891e0360e37ffff,1.133,119.193,auto
891e03600a3ffff,891e03632d3ffff,10.961,855.29,auto
891e037ad53ffff,891e037a52fffff,6.05,484.932,auto
891e0371bdbffff,891e0371873ffff,2.007,192.524,auto
891e037a897ffff,891e037aa6bffff,9.193,678.897,auto
891e03783abffff,891e037aa87ffff,6.508,537.848,auto
891e03781dbffff,891e0378cc3ffff,4.93,408.635,auto
891e0378b63ffff,891e037ad33ffff,15.468,964.379,auto
891e0371213ffff,891e037a133ffff,2.946,256.409,auto
891e0360433ffff,891e03614c3ffff,11.22,894.183,auto
891e036038bffff,891e0360313ffff,1.969,330.822,auto
891e036023bffff,891e0360033ffff,3.67,286.039,auto
891e037aaa3ffff,891e037130bffff,6.195,524.269,auto
891e037aacbffff,891e0361613ffff,13.454,919.479,auto
891e037ac7bffff,891e037aea7ffff,0.75,122.934,auto
891e0363463ffff,891e037815bffff,12.428,947.834,auto
891e037152bffff,891e037aa27ffff,14.353,936.129,auto
